Time,Dev1/ai28,Dev1/ai30,Dev1/ai31
2025/11/6 15:32:41.102000,-1.55232223751459,-1.91400148420657,-1.84116110989918
2025/11/6 15:32:41.112000,-1.46069624617668,-1.76099290021384,-1.71603140461997
2025/11/6 15:32:41.122000,-1.77018986103763,-2.12755783430418,-2.00486109033847
2025/11/6 15:32:41.132000,-1.311384259141,-1.60200312326325,-1.56190948008596
2025/11/6 15:32:41.142000,-1.72979174530489,-2.06842097712086,-1.96694659676308
2025/11/6 15:32:41.152000,-1.54312188256083,-1.90015122463208,-1.82339614767956
2025/11/6 15:32:41.162000,-1.44680629546142,-1.74620869677851,-1.69719339514472
2025/11/6 15:32:41.172000,-1.87803078589833,-2.26906107790284,-2.16448749600267
2025/11/6 15:32:41.182000,-1.41217084024018,-1.73404749751937,-1.70855978897374
2025/11/6 15:32:41.192000,-1.74439706475944,-2.08948450736609,-1.99031527802923
2025/11/6 15:32:41.202000,-1.44925044985772,-1.78030774732405,-1.68572764495328
2025/11/6 15:32:41.212000,-1.43863924303268,-1.7401082258699,-1.68920512548988
2025/11/6 15:32:41.222000,-1.76313559076321,-2.1200067566844,-1.9944485142747
2025/11/6 15:32:41.232000,-1.32169739637043,-1.60967342002169,-1.56481069180219
2025/11/6 15:32:41.242000,-1.75109365352128,-2.0990028388036,-2.00140347918091
2025/11/6 15:32:41.252000,-1.52336993306027,-1.88065753143087,-1.79949094772158
2025/11/6 15:32:41.262000,-1.44350768059959,-1.74201586497307,-1.69003972082178
2025/11/6 15:32:41.272000,-1.88518441342192,-2.2770095832857,-2.16804446487224
2025/11/6 15:32:41.282000,-1.41837064620398,-1.74187676628821,-1.71569359220834
2025/11/6 15:32:41.292000,-1.83318151746021,-2.20827488764271,-2.12184361407099
2025/11/6 15:32:41.302000,-1.43166446111211,-1.75972114076065,-1.66037184464415
2025/11/6 15:32:41.312000,-1.42679602363319,-1.7266156536789,-1.67221514935252
2025/11/6 15:32:41.322000,-1.7625791976182,-2.11968881657683,-1.98979862350073
2025/11/6 15:32:41.332000,-1.29234767870007,-1.58239021473936,-1.53468578179956
2025/11/6 15:32:41.342000,-1.70761550580379,-2.04125697303063,-1.93099936705008
2025/11/6 15:32:41.352000,-1.41217084024018,-1.73593526535807,-1.63300904257576
2025/11/6 15:32:41.362000,-1.55315682695534,-1.88298246727491,-1.84406232302176
2025/11/6 15:32:41.372000,-1.8219940398425,-2.20022702717406,-2.08067021402541
2025/11/6 15:32:41.382000,-1.26810485261654,-1.55637876988839,-1.50489868561901
2025/11/6 15:32:41.392000,-1.82022550432289,-2.1949412719813,-2.10316456153851
2025/11/6 15:32:41.402000,-1.52597305715505,-1.88693684536075,-1.80155756513447
2025/11/6 15:32:41.412000,-1.37536942911792,-1.6612988920071,-1.59155747994195
2025/11/6 15:32:41.422000,-1.73845558102186,-2.09451193501095,-1.95935574982998
2025/11/6 15:32:41.432000,-1.29975962488252,-1.58950411662615,-1.53760686469435
